#k distance_to_full_design
42 649.750570621123
42 395.350395714097
42 366.463134287298
42 300.371989112937
42 4064.27051232768
42 576.601439192004
42 942.902570026613
42 807.467153870525
42 236.032888836748
42 381.074528800445
42 3548.94099789923
42 521.415932955531
42 3258.88218033569
42 1514.43205734625
42 345.279807009124
42 728.570475761282
42 289.607041289688
42 797.055512065745
42 1950.4836815753
42 423.747862199807
45 540.267201638726
45 353.216214929592
45 543.641613842428
45 539.367372312788
45 1529.26072674303
45 165.214455082821
45 566.945542118362
45 235.074393304526
45 3859.6423041594
45 198.285196716709
45 556.291868688519
45 463.442944165303
45 339.944009631971
45 1344.58090857857
45 217.944850938702
45 432.437960222375
45 1056.67883212278
45 1070.84575728804
45 348.109301263249
45 638.537067956211
50 1665.54762906066
50 954.61162848957
50 267.869505406578
50 272.680878516969
50 257.448289725153
50 243.872448428356
50 1166.63599031628
50 302.739973728601
50 788.764596614497
50 539.366982859592
50 235.202595829817
50 377.06242065916
50 199.456940474768
50 240.554957967418
50 76.9120680195519
50 239.727425142774
50 254.073382309596
50 573.982553151644
50 301.634464001143
50 245.962628292333
60 340.580116562245
60 93.8667517599792
60 344.698251572252
60 116.118979446554
60 143.31232490962
60 87.7755572488706
60 111.710035965629
60 86.1402916513565
60 87.0803766604389
60 106.738430467623
60 131.626200621384
60 58.1399454889365
60 150.77737627128
60 126.391118099366
60 99.4269979040338
60 88.1238860749197
60 81.3495239489873
60 96.4237858694581
60 83.3622310115468
60 159.043127494803
80 31.1645930480312
80 128.340826243392
80 148.81187987984
80 51.2377047820331
80 74.0503781998284
80 66.1379074346663
80 33.7680066746249
80 41.5318296828691
80 44.8584434400336
80 36.8740014966993
80 116.258704920071
80 109.860578301817
80 54.417043782213
80 118.802049373065
80 80.9397022070451
80 33.7560029823366
80 28.5307383769335
80 56.392079700552
80 45.3931867765392
80 282.707123510527
100 51.7753302880601
100 64.7491342412423
100 131.016295394889
100 30.5714325861369
100 33.852821928135
100 322.75310183973
100 33.1557519729908
100 61.0451967598713
100 17.0183239869179
100 103.225908230094
100 107.039963193359
100 41.9713213571796
100 109.011810843309
100 58.8705896171879
100 52.5275434844201
100 54.2378444195636
100 19.7923368318441
100 26.3503832896775
100 33.785680165018
100 44.2431134263315
148 35.7815268789092
148 13.4653419572669
148 32.5145352417824
148 14.8912228065596
148 10.5797115862723
148 21.2971228403525
148 17.6252365542073
148 20.8672445707096
148 12.2191660693306
148 32.8628500947941
148 26.3313361974741
148 14.353240812144
148 20.6448790557816
148 11.5949983943116
148 12.728646766049
148 14.6026750242446
148 16.2894256802762
148 16.1312128375355
148 18.5269190513031
148 17.3238406186124
200 9.61567882665232
200 6.4467795958509
200 13.4172792310632
200 7.98351529380004
200 7.93702493379574
200 6.58286390912583
200 8.42830307452058
200 11.1283518118715
200 7.35501056329824
200 7.11748157762469
200 9.86615410230717
200 12.6691783325458
200 23.1500600053694
200 8.76530885796731
200 7.01995486490996
200 4.59229092895411
200 9.2576395941394
200 6.76587888519284
200 7.2133788935195
200 5.2165100196753
300 3.70063116577207
300 3.84245531668494
300 7.90385434877878
300 13.4835445770683
300 7.43018251957644
300 3.33086730627045
300 3.35865519612148
300 6.19584611876509
300 5.07549394865961
300 6.62078807413905
300 4.03891561597018
300 5.13831663583826
300 4.4216553438013
300 3.54500685125557
300 8.12261671341705
300 5.31683407963622
300 7.69359899280177
300 13.0455284844857
300 8.87222221773949
300 7.48484397406535
500 1.78993851498656
500 3.45306635785042
500 1.46235011185994
500 1.93080964179938
500 2.49026957245369
500 2.1642586550831
500 0.833234831379292
500 1.79894169767075
500 0.793373226774152
500 0.546640028247327
500 2.75711112848364
500 2.6858167032221
500 1.83394109161014
500 0.987991932096856
500 1.36976770265805
500 2.02533287358845
500 1.86566316264577
500 1.50422380145446
500 1.24376709949769
500 1.8111712000186
600 0.450188373526518
600 1.06151742093649
600 0.929920023067524
600 0.52676019624922
600 1.46656934025048
600 1.3003397472917
600 0.619451861091516
600 1.10994688645587
600 1.4693001812651
600 0.495882959950394
600 0.854602990403989
600 0.714111564052075
600 1.27672312738824
600 0.993031790950788
600 0.685734362301208
600 0.4211190657255
600 0.94447243618982
600 0.914092359620992
600 1.03321993018582
600 0.529066177801053
700 0.221396167196599
700 0.145102429216099
700 0.496390045168677
700 0.423981436878319
700 0.537696488458093
700 0.268741315055225
700 0.296749853462514
700 0.66208048123548
700 0.156894661519786
700 0.248731948319322
700 0.140067634686615
700 0.111996452954888
700 0.30968217629685
700 0.0988946697901075
700 0.456551247491562
700 0.414057115614962
700 0.170070962768945
700 0.365481531828415
700 0.536401429005049
700 0.241042000792366
780 0.000000000000410619246371342
780 0.0000000000000247505044546378
780 0.000000000000182391388898379
780 0.000000000000286745800246443
780 0.00000000000023723741153491
780 0.0000000000000106920587358523
780 0.000000000000117455719441575
780 0.000000000000198859322600057
780 0.000000000000125436213566949
780 0.000000000000165615396269349
780 0.0000000000000152626393563314
780 0.000000000000322684689141384
780 0.0000000000000550717064077626
780 0.000000000000269285252608257
780 0.000000000000165147932662029
780 0.000000000000153779896321209
780 0.0000000000000296589592708728
780 0.0000000000000598192348564954
780 0.0000000000000872961523296678
780 0.0000000000000278167370286443
