"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_ejm_46","lig_jmc_27","A -optimal",0.271934160199431,425.855248531327,370.541416458786,573.791390753206,325.449091078597
"lig_ejm_46","lig_jmc_28","A -optimal",0.271934160199431,425.855248531327,370.541416458786,628.351771983318,167.345334663987
"lig_jmc_28","lig_jmc_30","A -optimal",0.670049205930868,628.351771983318,167.345334663987,727.998909246176,268.018746236339
"lig_ejm_49","lig_ejm_55","A -optimal",0.0664391993693988,187.924693834968,128.110710311681,463.780909637688,-14.7925185330678
"lig_ejm_31","lig_ejm_48","A -optimal",0.0995196844681909,403.977924142964,117.838357895846,241.432732938789,-94.2461863707285
"lig_ejm_42","lig_ejm_55","A -optimal",1,324.640812639613,68.6303944271785,463.780909637688,-14.7925185330678
"lig_ejm_42","lig_ejm_47","A -optimal",0.0995196844681909,324.640812639613,68.6303944271785,486.447377420263,-129.930813409388
"lig_ejm_47","lig_ejm_50","A -optimal",0.0995196844681909,486.447377420263,-129.930813409388,347.530220858753,220.159023385495
"lig_ejm_50","lig_jmc_27","A -optimal",0.0995196844681909,347.530220858753,220.159023385495,573.791390753206,325.449091078597
"lig_ejm_48","lig_ejm_55","A -optimal",0.0813309091132862,241.432732938789,-94.2461863707285,463.780909637688,-14.7925185330678
"lig_ejm_42","lig_ejm_46","A -optimal",0.121735504854227,324.640812639613,68.6303944271785,425.855248531327,370.541416458786
"lig_ejm_42","lig_ejm_54","A -optimal",0.818581835980543,324.640812639613,68.6303944271785,99.128107111901,-1.24869399145246
"lig_ejm_31","lig_jmc_28","A -optimal",0.121735504854227,403.977924142964,117.838357895846,628.351771983318,167.345334663987
"lig_jmc_23","lig_jmc_28","A -optimal",1,652.388504134491,31.9084495881107,628.351771983318,167.345334663987
"lig_ejm_31","lig_ejm_43","A -optimal",0.740605296542955,403.977924142964,117.838357895846,194.734640358016,378.315504565835
"lig_jmc_23","lig_jmc_27","A -optimal",1,652.388504134491,31.9084495881107,573.791390753206,325.449091078597
"lig_ejm_45","lig_ejm_47","A -optimal",0.0664391993693988,345.52736598812,-231.328729581088,486.447377420263,-129.930813409388
"lig_ejm_42","lig_ejm_44","A -optimal",0.740605296542955,324.640812639613,68.6303944271785,110.15711321542,241.970287855715
"lig_ejm_31","lig_ejm_44","A -optimal",0.606207415074717,403.977924142964,117.838357895846,110.15711321542,241.970287855715
"lig_ejm_45","lig_ejm_48","A -optimal",0.0542468986361672,345.52736598812,-231.328729581088,241.432732938789,-94.2461863707285
"lig_ejm_55","lig_jmc_28","A -optimal",0.0995196844681909,463.780909637688,-14.7925185330678,628.351771983318,167.345334663987
"lig_ejm_31","lig_ejm_55","A -optimal",0.818581835980543,403.977924142964,117.838357895846,463.780909637688,-14.7925185330678
"lig_ejm_43","lig_ejm_44","A -optimal",0.606207415074717,194.734640358016,378.315504565835,110.15711321542,241.970287855715
"lig_ejm_43","lig_ejm_50","A -optimal",0.818581835980543,194.734640358016,378.315504565835,347.530220858753,220.159023385495
"lig_ejm_31","lig_ejm_45","A -optimal",0.606207415074717,403.977924142964,117.838357895846,345.52736598812,-231.328729581088
"lig_ejm_31","lig_ejm_49","A -optimal",0.0813309091132862,403.977924142964,117.838357895846,187.924693834968,128.110710311681
"lig_ejm_49","lig_ejm_50","A -optimal",0.0664391993693988,187.924693834968,128.110710311681,347.530220858753,220.159023385495
"lig_ejm_31","lig_ejm_50","A -optimal",0.904759239659144,403.977924142964,117.838357895846,347.530220858753,220.159023385495
"lig_ejm_31","lig_ejm_42","A -optimal",0.904759239659144,403.977924142964,117.838357895846,324.640812639613,68.6303944271785
"lig_ejm_42","lig_ejm_49","A -optimal",0.0664391993693988,324.640812639613,68.6303944271785,187.924693834968,128.110710311681
"lig_ejm_31","lig_ejm_47","A -optimal",0.121735504854227,403.977924142964,117.838357895846,486.447377420263,-129.930813409388
"lig_ejm_31","lig_ejm_46","A -optimal",0.148869969148523,403.977924142964,117.838357895846,425.855248531327,370.541416458786
"lig_ejm_48","lig_ejm_50","A -optimal",0.0813309091132862,241.432732938789,-94.2461863707285,347.530220858753,220.159023385495
"lig_ejm_31","lig_jmc_23","A -optimal",0.121735504854227,403.977924142964,117.838357895846,652.388504134491,31.9084495881107
"lig_ejm_49","lig_ejm_54","A -optimal",0.0542468986361672,187.924693834968,128.110710311681,99.128107111901,-1.24869399145246
"lig_ejm_31","lig_jmc_30","A -optimal",0.0995196844681909,403.977924142964,117.838357895846,727.998909246176,268.018746236339
"lig_ejm_31","lig_jmc_27","A -optimal",0.121735504854227,403.977924142964,117.838357895846,573.791390753206,325.449091078597
"lig_ejm_31","lig_ejm_54","A -optimal",0.670049205930868,403.977924142964,117.838357895846,99.128107111901,-1.24869399145246
"lig_jmc_27","lig_jmc_30","A -optimal",0.606207415074717,573.791390753206,325.449091078597,727.998909246176,268.018746236339
"lig_ejm_42","lig_ejm_48","A -optimal",0.0813309091132862,324.640812639613,68.6303944271785,241.432732938789,-94.2461863707285
"lig_ejm_47","lig_ejm_55","A -optimal",0.0995196844681909,486.447377420263,-129.930813409388,463.780909637688,-14.7925185330678
"lig_ejm_43","lig_ejm_49","A -optimal",0.0542468986361672,194.734640358016,378.315504565835,187.924693834968,128.110710311681
"lig_ejm_46","lig_ejm_50","A -optimal",0.121735504854227,425.855248531327,370.541416458786,347.530220858753,220.159023385495
"lig_ejm_42","lig_jmc_23","A -optimal",0.0995196844681909,324.640812639613,68.6303944271785,652.388504134491,31.9084495881107
"lig_ejm_46","lig_jmc_27","D -optimal",0.271934160199431,530.807065360714,1113.58633569069,670.232908268692,1032.78661981085
"lig_ejm_46","lig_jmc_28","D -optimal",0.271934160199431,530.807065360714,1113.58633569069,753.369827417657,1182.06871666573
"lig_jmc_28","lig_jmc_30","D -optimal",0.670049205930868,753.369827417657,1182.06871666573,649.315418124199,1308.42147767544
"lig_ejm_49","lig_ejm_55","D -optimal",0.0664391993693988,327.374063657597,736.403031099588,325.244455275126,1059.228751719
"lig_ejm_31","lig_ejm_48","D -optimal",0.0995196844681909,394.101478313096,995.690236598253,199.169703772292,783.159702174366
"lig_jmc_23","lig_jmc_30","D -optimal",0.606207415074717,484.25136468932,1255.808678478,649.315418124199,1308.42147767544
"lig_ejm_42","lig_ejm_55","D -optimal",1,234.058219160885,1140.69168750197,325.244455275126,1059.228751719
"lig_ejm_42","lig_ejm_47","D -optimal",0.0995196844681909,234.058219160885,1140.69168750197,448.24164283555,887.397959280759
"lig_ejm_47","lig_ejm_50","D -optimal",0.0995196844681909,448.24164283555,887.397959280759,274.715382227674,933.975240606815
"lig_ejm_48","lig_ejm_55","D -optimal",0.0813309091132862,199.169703772292,783.159702174366,325.244455275126,1059.228751719
"lig_ejm_43","lig_ejm_55","D -optimal",0.818581835980543,119.85002200678,1088.21311936155,325.244455275126,1059.228751719
"lig_ejm_42","lig_ejm_54","D -optimal",0.818581835980543,234.058219160885,1140.69168750197,74.8260953500867,884.515046462417
"lig_jmc_23","lig_jmc_28","D -optimal",1,484.25136468932,1255.808678478,753.369827417657,1182.06871666573
"lig_ejm_31","lig_ejm_43","D -optimal",0.740605296542955,394.101478313096,995.690236598253,119.85002200678,1088.21311936155
"lig_jmc_23","lig_jmc_27","D -optimal",1,484.25136468932,1255.808678478,670.232908268692,1032.78661981085
"lig_ejm_42","lig_ejm_44","D -optimal",0.740605296542955,234.058219160885,1140.69168750197,6.29743480030447,1025.92247797735
"lig_ejm_43","lig_ejm_54","D -optimal",0.670049205930868,119.85002200678,1088.21311936155,74.8260953500867,884.515046462417
"lig_ejm_31","lig_ejm_55","D -optimal",0.818581835980543,394.101478313096,995.690236598253,325.244455275126,1059.228751719
"lig_ejm_43","lig_ejm_44","D -optimal",0.606207415074717,119.85002200678,1088.21311936155,6.29743480030447,1025.92247797735
"lig_ejm_43","lig_ejm_50","D -optimal",0.818581835980543,119.85002200678,1088.21311936155,274.715382227674,933.975240606815
"lig_ejm_31","lig_ejm_45","D -optimal",0.606207415074717,394.101478313096,995.690236598253,512.885514257476,779.181153330952
"lig_ejm_42","lig_ejm_50","D -optimal",1,234.058219160885,1140.69168750197,274.715382227674,933.975240606815
"lig_ejm_31","lig_ejm_49","D -optimal",0.0813309091132862,394.101478313096,995.690236598253,327.374063657597,736.403031099588
"lig_jmc_27","lig_jmc_28","D -optimal",1,670.232908268692,1032.78661981085,753.369827417657,1182.06871666573
"lig_ejm_31","lig_ejm_50","D -optimal",0.904759239659144,394.101478313096,995.690236598253,274.715382227674,933.975240606815
"lig_jmc_27","lig_jmc_30","D -optimal",0.606207415074717,670.232908268692,1032.78661981085,649.315418124199,1308.42147767544
"lig_ejm_50","lig_ejm_54","D -optimal",0.740605296542954,274.715382227674,933.975240606815,74.8260953500867,884.515046462417
"lig_ejm_44","lig_ejm_55","D -optimal",0.670049205930868,6.29743480030447,1025.92247797735,325.244455275126,1059.228751719
"lig_ejm_31","lig_ejm_42","D -optimal",0.904759239659144,394.101478313096,995.690236598253,234.058219160885,1140.69168750197
"lig_ejm_50","lig_ejm_55","D -optimal",0.904759239659144,274.715382227674,933.975240606815,325.244455275126,1059.228751719
"lig_ejm_46","lig_jmc_23","D -optimal",0.271934160199431,530.807065360714,1113.58633569069,484.25136468932,1255.808678478
"lig_ejm_49","lig_ejm_50","D -optimal",0.0664391993693988,327.374063657597,736.403031099588,274.715382227674,933.975240606815
"lig_ejm_44","lig_ejm_54","D -optimal",0.548440973873645,6.29743480030447,1025.92247797735,74.8260953500867,884.515046462417
"lig_ejm_42","lig_ejm_43","D -optimal",0.904759239659144,234.058219160885,1140.69168750197,119.85002200678,1088.21311936155
"lig_ejm_31","lig_ejm_47","D -optimal",0.121735504854227,394.101478313096,995.690236598253,448.24164283555,887.397959280759
"lig_ejm_31","lig_ejm_46","D -optimal",0.148869969148523,394.101478313096,995.690236598253,530.807065360714,1113.58633569069
"lig_ejm_31","lig_ejm_54","D -optimal",0.670049205930868,394.101478313096,995.690236598253,74.8260953500867,884.515046462417
"lig_ejm_48","lig_ejm_50","D -optimal",0.0813309091132862,199.169703772292,783.159702174366,274.715382227674,933.975240606815
"lig_ejm_44","lig_ejm_50","D -optimal",0.670049205930868,6.29743480030447,1025.92247797735,274.715382227674,933.975240606815
"lig_ejm_31","lig_jmc_27","D -optimal",0.121735504854227,394.101478313096,995.690236598253,670.232908268692,1032.78661981085
"lig_ejm_46","lig_jmc_30","D -optimal",0.22249194267027,530.807065360714,1113.58633569069,649.315418124199,1308.42147767544
"lig_ejm_47","lig_ejm_55","D -optimal",0.0995196844681909,448.24164283555,887.397959280759,325.244455275126,1059.228751719
"lig_ejm_46","lig_ejm_55","D -optimal",0.121735504854227,530.807065360714,1113.58633569069,325.244455275126,1059.228751719
"lig_ejm_31","lig_jmc_23","D -optimal",0.121735504854227,394.101478313096,995.690236598253,484.25136468932,1255.808678478
